Gender,Age,Country/Region,Profession,Education Level,Favorite Celebrity/Genre,Free Time Interests,Online Habits,Life Goals
Female,62,Lao People's Democratic Republic,Health and Wellness,Some High School,Science and Technology,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,68,Lithuania,Health and Wellness,College Degree,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,24,Tokelau,Tech and Engineering,College Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,53,Ukraine,Health and Wellness,High School Graduate,Science and Technology,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,66,Marshall Islands,Health and Wellness,Some College,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,66,Tonga,Health and Wellness,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,45,Nigeria,Tech and Engineering,Some College,Science and Technology,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,55,Svalbard & Jan Mayen Islands,Education and Research,Post-Graduate Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,45,Pakistan,Business and Finance,College Degree,Sports and Athletics,Reading or writing,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,36,Djibouti,Public Service and Non-Profit,High School Graduate,Film and Television,Reading or writing,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,50,Anguilla,Trades and Services,High School Graduate,Sports and Athletics,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,45,Jordan,Arts and Entertainment,Some College,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,54,Ireland,Business and Finance,Some College,Music and Performing Arts,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,50,New Caledonia,Business and Finance,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,30,Grenada,Business and Finance,Some College,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,41,Thailand,Tech and Engineering,High School Graduate,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,68,Czech Republic,Tech and Engineering,High School Graduate,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,46,Bermuda,Tech and Engineering,High School Graduate,Film and Television,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,60,Yemen,Tech and Engineering,High School Graduate,Science and Technology,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,29,Sierra Leone,Tech and Engineering,High School Graduate,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,34,Samoa,Business and Finance,College Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,55,Pakistan,Health and Wellness,Post-Graduate Degree,Film and Television,Reading or writing,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,63,Burkina Faso,Trades and Services,College Degree,Sports and Athletics,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,43,Norway,Education and Research,College Degree,Sports and Athletics,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
